Date,Adj Close
15.02.2007,37.18
16.02.2007,37.46
20.02.2007,37.86
21.02.2007,38
22.02.2007,38.06
23.02.2007,38.03
26.02.2007,37.86
27.02.2007,36.75
28.02.2007,36.11
01.03.2007,36.45
02.03.2007,36.1
05.03.2007,35.47
06.03.2007,35.62
07.03.2007,35.62
08.03.2007,36.07
09.03.2007,36.49
12.03.2007,36.92
13.03.2007,35.94
14.03.2007,36.08
15.03.2007,35.93
16.03.2007,35.94
19.03.2007,36.26
20.03.2007,36.62
21.03.2007,36.87
22.03.2007,36.77
23.03.2007,37.24
26.03.2007,37.29
27.03.2007,37.23
28.03.2007,37.05
29.03.2007,37.09
30.03.2007,37.24
02.04.2007,37.05
03.04.2007,37.41
04.04.2007,37.38
05.04.2007,37.84
09.04.2007,38.43
10.04.2007,38.28
11.04.2007,38.39
12.04.2007,38.54
13.04.2007,39.38
16.04.2007,39.76
17.04.2007,40.51
18.04.2007,40.4
19.04.2007,40.32
20.04.2007,39.97
23.04.2007,40.2
24.04.2007,40.06
25.04.2007,40.2
26.04.2007,40.69
27.04.2007,40.46
30.04.2007,39.91
01.05.2007,40.62
02.05.2007,41.34
03.05.2007,41.25
04.05.2007,41.26
07.05.2007,40.91
08.05.2007,40.77
09.05.2007,41.2
10.05.2007,41.33
11.05.2007,41.86
14.05.2007,41.85
15.05.2007,42.38
16.05.2007,42.96
17.05.2007,43.2
18.05.2007,43.25
21.05.2007,43.2
22.05.2007,43.39
23.05.2007,42.63
24.05.2007,42.12
25.05.2007,42.07
29.05.2007,41.83
30.05.2007,41.52
31.05.2007,41.78
01.06.2007,42.11
04.06.2007,42.24
05.06.2007,42.03
06.06.2007,41.86
07.06.2007,41.5
08.06.2007,42.49
11.06.2007,42.36
12.06.2007,42.55
13.06.2007,43.14
14.06.2007,43.19
15.06.2007,43.12
18.06.2007,43.31
19.06.2007,43.38
20.06.2007,42.43
21.06.2007,42.21
22.06.2007,41.67
25.06.2007,42.4
26.06.2007,42.77
